title,link,author,pubDate,description,text
['roi Mohamed vi main l ’ Algérie'],https://africanmanager.com/le-roi-mohamed-vi-tend-la-main-a-lalgerie/,['African Manager'],"['sun', 'Jul', '16:36:10 +0000']","['Maroc joue carte l&8217;apaisement différend diplomatique l&8217;oppose voisin l&8217;algéri', 'roi Mohamed vi appeler règlemer pacifique imper alger rompu relation diplomatique royaume chérifien août accuser', 'rabat d&8217;acte hostile', 'égard souligne fois']",
['Zambie FMI débloquer prêt d’1.3 milliard dollar'],https://africanmanager.com/zambie-le-fmi-pourrait-debloquer-le-pret-d1-3-milliard-de-dollars/,['African Manager'],"['sun', 'Jul', '16:34:45 +0000']",['zambie devoir bientôt accéder prêt d&8217;1.3 milliard dollar an FMI signer programme soutien suspendre accord restructuration dett pays lusaka convaincre fonds monétaire international qu&8217;un accord comité officiel créancier'],
"['céréale ukrainien', 'premier \xa0   navir appareiller lundi Ankara']",https://africanmanager.com/cereales-ukrainiennes-un-1er-navire-pourrait-appareiller-lundi-selon-ankara/,['African Manager'],"['sun', 'Jul', '16:32:46 +0000']","['porte-parole présidence turc affirmer dimanch qu&8217;il \xa0   haute probabilité \xa0   qu&8217;un navire transporter céréale ukrainien pouvoir quitter lundi matin', 'port d&8217;Odessa ukraine terme d&8217;un accord trouver juillet Russie \xa0   fort probabilité qu&8217;un bateau pouvoir partir', 'demain']",
['sénégal élection législatif crucial'],https://africanmanager.com/senegal-des-elections-legislatives-tres-cruciales/,['African Manager'],"['sun', 'jul 16:31:42', '+0000']","['sénégalais élire dimanch député scrutin l&8217;opposition vouloir mettre profit imposer cohabitation président Macky sall espérer conserver large majorité législatif figure test élection local mars remporter l&8217;opposition grand ville pays d&8217;afriqu', 'l&8217;ouest']",
"['Siliana', 'incendie déclare Djebel Oued', 'Maleh']",https://africanmanager.com/siliana-un-incendie-se-declare-a-djebel-oued-maleh/,['am TAP'],"['sun', 'Jul 16:03:08', '+0000']","['incendie s&8217;est déclencher dimanch midi Djebel Oued', 'Malah situer localité Bou Abdallah relever délégation Kesra Gouvernorat Siliana', 'agent protection civil Makther soutenir agent forestier protection civil Siliana continuer effort éteindre feu souligner', '']",
"['Jendouba', 'mécontentement agriculteur ouvrier cadre groupement développement agricole \xa0   Bousdira']",https://africanmanager.com/jendouba-mecontentement-des-agriculteurs-ouvriers-et-cadres-du-groupement-de-developpement-agricole-bousdira%ef%bf%bc/,['am TAP'],"['sun', 'jul 15:55:35 +0000']",['ouvrier cadre groupement développement agricole \xa0   Bousdira \xa0   agriculteur bénéficiaire exprimer mécontentement face détérioration situation groupement non remboursement salaire mois appeler l&8217;ouvertur d&8217;une enquête mauvais gestion suspicion corruption'],
"['SAH', '2ème année goût crise cosmétique', 'desserrer']",https://africanmanager.com/sah-en-2021-une-2eme-annee-au-gout-de-la-crise-et-le-cosmetique-pour-la-desserrer/,['African Manager'],"['sun', 'Jul', '15:36:37 +0000']","['Tunisie Valeurs', 'créée l&8217;ancienn banquièr', 'Jalila Mezni classer 100ème \xa0   CEOs région Mena Forbes sociéter SAH Société d&8217;Articles Hygiéniques l&8217;un fleuron l&8217;économi tunisienne initialement lancée fabrication serviette hygiénique société connaître développement considérable fil anner c&8217;est', 'Tunisie Valeurs t.v']",
['variole sing décès d ’ Afrique Espagne'],https://africanmanager.com/variole-du-singe-trois-deces-hors-dafrique-dont-deux-en-espagne/,['African Manager'],"['sun', 'Jul', '15:21:21 +0000']",['L&8217;Espagne recenser samedi décès d&8217;un patient atteindre variole sing d&8217;Afrique jour autorité scientifique continuer s&8217;interroger cause réel mort c&8217;est pays toucher mond l&8217;épidémi l&8217;OMS l&8217;espagne qu&8217;une atteinte'],
['positif covid-19 Biden reconfin'],https://africanmanager.com/a-nouveau-positif-au-covid-19-biden-se-reconfine/,['African Manager'],"['sun', 'Jul', '15:04:57 +0000']","['président américain joe Biden être tester positif covid-19 samedi matin ressentir symptôme retourner l&8217;isolement \xa0   protéger \xa0   entourage annoncer médecin personnel lettr diffuser maison Blanche', 'président âgé an \xa0   être tester positif samedi', '']",
"['Irak', 'manifestant pro-sadr occuper parlement \xa0   ’ nouveau ordre']",https://africanmanager.com/irak-les-manifestants-pro-sadr-occupent-le-parlement-jusqua-nouvel-ordre/,['African Manager'],"['sun', 'Jul', '15:04:11 +0000']",['millier partisans l&8217;influent leader politique chiite Moqtada Sadr envahir nouveau fois samedi parlement irakien qu&8217;ils compter occuper jusqu&8217;à nouveau ordre journer manifestation pays plein crise politique 160;Brandissant drapeau irakien portrait Moqtada Sadr enseigne religieux manifestant'],
